material_id,formula,rank_hybrid,rank_gnn,rank_shift_hybrid_minus_gnn,gnn_probability,hybrid_probability,probability_delta,space_group_number,crystal_system,magnetic_elements,dft_selected
mp-680339,Mn16 Si28,280,38939,-38659,0.0,0.3022715643614424,0.3022715643614424,116,tetragonal,Mn,False
mp-568121,Mn16 Si28,287,38940,-38653,0.0,0.2727852251943197,0.2727852251943197,27,orthorhombic,Mn,False
mp-567968,Mn44 Si76,289,38941,-38652,0.0,0.2707026859326372,0.2707026859326372,118,tetragonal,Mn,False
mp-1251643,Ca4 Al2 V2 O10,356,38942,-38586,0.0,0.0324402540838882,0.0324402540838882,1,triclinic,V,False
mp-760,mp-760,544,38943,-38399,0.0,0.0001885638927168,0.0001885638927168,58,orthorhombic,,False
mp-554855,mp-554855,617,38944,-38327,0.0,0.0001682726821943,0.0001682726821943,15,monoclinic,,False
mp-1101894,mp-1101894,640,38945,-38305,0.0,0.0001605514643574,0.0001605514643574,14,monoclinic,,False
mp-18808,mp-18808,661,38946,-38285,0.0,0.0001605514643574,0.0001605514643574,185,hexagonal,,False
mp-561511,mp-561511,683,38947,-38264,0.0,0.0001605163336715,0.0001605163336715,14,monoclinic,,False
mp-4975,mp-4975,647,38823,-38176,1.401298464324817e-45,0.0001605514643574,0.0001605514643574,194,hexagonal,,False
mp-1016190,mp-1016190,776,38948,-38172,0.0,0.000151204715485,0.000151204715485,15,monoclinic,,False
mp-1228418,mp-1228418,789,38949,-38160,0.0,0.000151204715485,0.000151204715485,2,triclinic,,False
mp-865356,mp-865356,791,38950,-38159,0.0,0.000151204715485,0.000151204715485,225,cubic,,False
mp-699691,mp-699691,819,38951,-38132,0.0,0.000151204715485,0.000151204715485,74,orthorhombic,,False
mp-669347,mp-669347,845,38952,-38107,0.0,0.000151204715485,0.000151204715485,140,tetragonal,,False
mp-14715,mp-14715,871,38953,-38082,0.0,0.000151204715485,0.000151204715485,92,tetragonal,,False
mp-30137,mp-30137,873,38954,-38081,0.0,0.000151204715485,0.000151204715485,14,monoclinic,,False
mp-1190986,mp-1190986,877,38955,-38078,0.0,0.000151204715485,0.000151204715485,15,monoclinic,,False
mp-1202233,mp-1202233,882,38956,-38074,0.0,0.000151204715485,0.000151204715485,176,hexagonal,,False
mp-1219929,mp-1219929,892,38957,-38065,0.0,0.000151204715485,0.000151204715485,25,orthorhombic,,False
mp-1210727,mp-1210727,894,38958,-38064,0.0,0.000151204715485,0.000151204715485,230,cubic,,False
mp-1198707,mp-1198707,909,38959,-38050,0.0,0.000151204715485,0.000151204715485,55,orthorhombic,,False
mp-568343,mp-568343,923,38960,-38037,0.0,0.000151204715485,0.000151204715485,62,orthorhombic,,False
mp-1198465,mp-1198465,943,38961,-38018,0.0,0.000151204715485,0.000151204715485,55,orthorhombic,,False
mp-561877,mp-561877,957,38962,-38005,0.0,0.000151204715485,0.000151204715485,62,orthorhombic,,False
mp-557145,mp-557145,970,38963,-37993,0.0,0.000151204715485,0.000151204715485,14,monoclinic,,False
mp-18964,mp-18964,976,38964,-37988,0.0,0.000151204715485,0.000151204715485,15,monoclinic,,False
mp-541493,mp-541493,838,38824,-37986,1.401298464324817e-45,0.000151204715485,0.000151204715485,62,orthorhombic,,False
mp-645425,mp-645425,982,38965,-37983,0.0,0.000151204715485,0.000151204715485,2,triclinic,,False
mp-14385,mp-14385,855,38825,-37970,1.401298464324817e-45,0.000151204715485,0.000151204715485,185,hexagonal,,False
mp-20862,mp-20862,1003,38966,-37963,0.0,0.000151204715485,0.000151204715485,58,orthorhombic,,False
mp-1191614,mp-1191614,1028,38967,-37939,0.0,0.000151204715485,0.000151204715485,63,orthorhombic,,False
mp-1214337,mp-1214337,1097,38968,-37871,0.0,0.000151204715485,0.000151204715485,198,cubic,,False
mp-1198455,mp-1198455,1099,38969,-37870,0.0,0.000151204715485,0.000151204715485,14,monoclinic,,False
mp-1204426,mp-1204426,992,38826,-37834,1.401298464324817e-45,0.000151204715485,0.000151204715485,114,tetragonal,,False
mp-504697,mp-504697,1138,38970,-37832,0.0,0.000151204715485,0.000151204715485,55,orthorhombic,,False
mp-30438,mp-30438,1177,38971,-37794,0.0,0.000151204715485,0.000151204715485,194,hexagonal,,False
mp-1207634,mp-1207634,1184,38972,-37788,0.0,0.000151204715485,0.000151204715485,55,orthorhombic,,False
mp-865354,mp-865354,1216,38973,-37757,0.0,0.000151204715485,0.000151204715485,225,cubic,,False
mp-1070806,mp-1070806,744,38461,-37717,3.2229864679470793e-44,0.000158925933322,0.000158925933322,123,tetragonal,,False
mp-27768,mp-27768,1274,38975,-37701,0.0,0.000151204715485,0.000151204715485,63,orthorhombic,,False
