feature,dtype,missing_fraction,n_unique,all_null,all_constant
space_group_number,int64,0.0,221,False,False
crystal_system,object,0.0,8,False,False
point_group,object,0.0,33,False,False
has_inversion,bool,0.0,1,False,True
n_symmetry_ops,int64,0.0,18,False,False
n_rotation_2,int64,0.0,22,False,False
n_rotation_3,int64,0.0,10,False,False
n_rotation_4,int64,0.0,18,False,False
n_rotation_6,int64,0.0,3,False,False
n_mirror_ops,int64,0.0,18,False,False
n_magnetic_sites,int64,0.0,22,False,False
n_inequivalent_magnetic_sites,int64,0.0,3,False,False
magnetic_elements,object,0.0,47,False,False
tm_3d_fraction,float64,0.0,58,False,False
rare_earth_4f_fraction,float64,0.0,15,False,False
num_elements,int64,0.0,5,False,False
stoich_entropy,float64,0.0,110,False,False
formation_energy_per_atom,object,0.015039690109019413,67108,False,False
energy_above_hull,object,0.015039690109019413,53120,False,False
band_gap,object,0.015039690109019413,26515,False,False
density,object,0.015039690109019413,66998,False,False
volume_per_atom,object,0.015039690109019413,66998,False,False
