split,model,n_train,n_test,n_split_train,n_split_test,n_test_positive,n_test_negative,status,skip_reason,auroc_test,auprc_test,balanced_accuracy_test,brier_score_test,precision_at_10,recall_at_10,enrichment_at_10,precision_at_25,recall_at_25,enrichment_at_25,precision_at_50,recall_at_50,enrichment_at_50
stratified,gnn_probability_only,19034,6345,19034,6345,30,6315,ok,,0.5,0.004728132387706856,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stratified,explicit_features_only,19034,6345,19034,6345,30,6315,ok,,1.0,1.0,1.0,3.950371027055424e-06,1.0,0.3333333333333333,211.5,1.0,0.8333333333333334,211.5,0.6,1.0,126.89999999999999
stratified,gnn_embedding_only,19034,6345,19034,6345,30,6315,ok,,0.9999604117181314,0.992982456140351,0.9833333333333334,0.00039912428311881626,1.0,0.3333333333333333,211.5,1.0,0.8333333333333334,211.5,0.6,1.0,126.89999999999999
stratified,hybrid_concatenation,19034,6345,19034,6345,30,6315,ok,,1.0,1.0,1.0,6.18207413974258e-05,1.0,0.3333333333333333,211.5,1.0,0.8333333333333334,211.5,0.6,1.0,126.89999999999999
stratified,calibrated_hybrid_ensemble,19034,6345,19034,6345,30,6315,ok,,1.0,0.9999999999999999,1.0,2.9890374054432055e-06,1.0,0.3333333333333333,211.5,1.0,0.8333333333333334,211.5,0.6,1.0,126.89999999999999
chemical_system_grouped,gnn_probability_only,19035,6344,19035,6344,30,6314,ok,,0.5,0.004728877679697352,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chemical_system_grouped,explicit_features_only,19035,6344,19035,6344,30,6314,ok,,1.0,1.0,0.9833333333333334,5.904255552052684e-05,1.0,0.3333333333333333,211.46666666666667,1.0,0.8333333333333334,211.46666666666667,0.6,1.0,126.88
chemical_system_grouped,gnn_embedding_only,19035,6344,19035,6344,30,6314,ok,,0.9830614507443776,0.9668242959226566,0.95,0.000436319696213395,1.0,0.3333333333333333,211.46666666666667,1.0,0.8333333333333334,211.46666666666667,0.58,0.9666666666666667,122.65066666666667
chemical_system_grouped,hybrid_concatenation,19035,6344,19035,6344,30,6314,ok,,1.0,0.9999999999999999,1.0,8.045659941151745e-05,1.0,0.3333333333333333,211.46666666666667,1.0,0.8333333333333334,211.46666666666667,0.6,1.0,126.88
chemical_system_grouped,calibrated_hybrid_ensemble,19035,6344,19035,6344,30,6314,ok,,1.0,0.9999999999999999,1.0,2.2906374884359125e-05,1.0,0.3333333333333333,211.46666666666667,1.0,0.8333333333333334,211.46666666666667,0.6,1.0,126.88
