feature,permutation_importance_mean,permutation_importance_std,surrogate_r2_train,n_rows
magnetic_elements,0.9706378488542798,0.004511881505839765,0.999393120788003,42524
crystal_system,0.3314870189120421,0.00935145365326458,0.999393120788003,42524
formation_energy_per_atom,0.2932706641071741,0.006612958593382817,0.999393120788003,42524
band_gap,0.27298478270211063,0.015167219120778572,0.999393120788003,42524
density,0.2599417757608558,0.006550436609158604,0.999393120788003,42524
point_group,0.20770679624838434,0.004572200395775271,0.999393120788003,42524
energy_above_hull,0.19803816452042383,0.008078564825507775,0.999393120788003,42524
volume_per_atom,0.1857989989229902,0.002581010838086982,0.999393120788003,42524
space_group_number,0.05213552176103766,0.0009689494027853956,0.999393120788003,42524
n_symmetry_ops,0.027555464079982772,0.00046668912271133426,0.999393120788003,42524
stoich_entropy,0.0216908977816165,0.00021460784218404927,0.999393120788003,42524
num_elements,0.016681837657682653,0.0002611896402118284,0.999393120788003,42524
tm_3d_fraction,0.01592749175356025,6.794404630121275e-05,0.999393120788003,42524
rare_earth_4f_fraction,0.01122293285490763,0.00027923528641471065,0.999393120788003,42524
n_magnetic_sites,0.00905638161925033,7.532105390828175e-05,0.999393120788003,42524
n_rotation_2,0.0037519304640684314,0.0002600253027711287,0.999393120788003,42524
n_rotation_4,0.002949797349405059,0.00017073910835442173,0.999393120788003,42524
n_mirror_ops,0.0025143560848385426,0.00010389803144056951,0.999393120788003,42524
n_rotation_6,0.00043184739477439835,2.683461013357091e-05,0.999393120788003,42524
n_rotation_3,0.00030312279492832327,4.031712980812001e-05,0.999393120788003,42524
n_inequivalent_magnetic_sites,5.2264730648898805e-05,0.0,0.999393120788003,42524
has_inversion,0.0,0.0,0.999393120788003,42524
